Prediction_type,Result_type,Model_name,Neg Root Mean Squared Error - avg,Root Mean Squared Error - std dev
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,NB-RC,-17.911546133941226,2.0948368104680344
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVM-MOR,-16.628125,1.249507715562413
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVM-RC,-20.71899611317582,4.725690461248088
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVC_lin-MOR,-17.16875,1.6505325845011363
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVC_lin-RC,-17.411158357039586,2.5583736715993064
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVRrbf-MOR,-20.792702530720035,1.381019896183365
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVRrbf-RC,-20.792523023015345,1.3804066408372482
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVRp-MOR,-20.778532471072275,1.212927206963374
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,SVRp-RC,-20.778799860715147,1.220748842980265
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,MLPR,-15.865478144563278,1.7752162366204487
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,KR,-16.237390293617644,2.125808038893803
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,GPR,-25.10437175319783,5.164151492765188
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,PLSR,-15.942919000882142,0.7358627348765909
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,GBR-MOR,-17.733022146315523,2.710641889469315
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,cross_validation,GBR-RC,-17.540223149588492,2.4063999218609538
pred_pplr_0+pred_pplr_1+pred_pplr_2+pred_pplr_3+pred_pplr_4+pred_pplr_5+pred_pplr_6+pred_pplr_7+pred_pplr_8+pred_pplr_9+pred_pplr_10+pred_pplr_11+pred_pplr_12+pred_pplr_13+pred_pplr_14+pred_pplr_15+pred_pplr_16+pred_pplr_17+pred_pplr_18+pred_pplr_19+pred_pplr_20+pred_pplr_21+pred_pplr_22+pred_pplr_23,Neg root mean squared error,MLPR,-18.588403336582807,0
